"","Group.1","Group.2","subject","variable"
"1","LAYING",1,1,NA
"2","SITTING",1,1,NA
"3","STANDING",1,1,NA
"4","WALKING",1,1,NA
"5","WALKING_DOWNSTAIRS",1,1,NA
"6","WALKING_UPSTAIRS",1,1,NA
"7","LAYING",2,2,NA
"8","SITTING",2,2,NA
"9","STANDING",2,2,NA
"10","WALKING",2,2,NA
"11","WALKING_DOWNSTAIRS",2,2,NA
"12","WALKING_UPSTAIRS",2,2,NA
"13","LAYING",3,3,NA
"14","SITTING",3,3,NA
"15","STANDING",3,3,NA
"16","WALKING",3,3,NA
"17","WALKING_DOWNSTAIRS",3,3,NA
"18","WALKING_UPSTAIRS",3,3,NA
"19","LAYING",4,4,NA
"20","SITTING",4,4,NA
"21","STANDING",4,4,NA
"22","WALKING",4,4,NA
"23","WALKING_DOWNSTAIRS",4,4,NA
"24","WALKING_UPSTAIRS",4,4,NA
"25","LAYING",5,5,NA
"26","SITTING",5,5,NA
"27","STANDING",5,5,NA
"28","WALKING",5,5,NA
"29","WALKING_DOWNSTAIRS",5,5,NA
"30","WALKING_UPSTAIRS",5,5,NA
"31","LAYING",6,6,NA
"32","SITTING",6,6,NA
"33","STANDING",6,6,NA
"34","WALKING",6,6,NA
"35","WALKING_DOWNSTAIRS",6,6,NA
"36","WALKING_UPSTAIRS",6,6,NA
"37","LAYING",7,7,NA
"38","SITTING",7,7,NA
"39","STANDING",7,7,NA
"40","WALKING",7,7,NA
"41","WALKING_DOWNSTAIRS",7,7,NA
"42","WALKING_UPSTAIRS",7,7,NA
"43","LAYING",8,8,NA
"44","SITTING",8,8,NA
"45","STANDING",8,8,NA
"46","WALKING",8,8,NA
"47","WALKING_DOWNSTAIRS",8,8,NA
"48","WALKING_UPSTAIRS",8,8,NA
"49","LAYING",9,9,NA
"50","SITTING",9,9,NA
"51","STANDING",9,9,NA
"52","WALKING",9,9,NA
"53","WALKING_DOWNSTAIRS",9,9,NA
"54","WALKING_UPSTAIRS",9,9,NA
"55","LAYING",10,10,NA
"56","SITTING",10,10,NA
"57","STANDING",10,10,NA
"58","WALKING",10,10,NA
"59","WALKING_DOWNSTAIRS",10,10,NA
"60","WALKING_UPSTAIRS",10,10,NA
"61","LAYING",11,11,NA
"62","SITTING",11,11,NA
"63","STANDING",11,11,NA
"64","WALKING",11,11,NA
"65","WALKING_DOWNSTAIRS",11,11,NA
"66","WALKING_UPSTAIRS",11,11,NA
"67","LAYING",12,12,NA
"68","SITTING",12,12,NA
"69","STANDING",12,12,NA
"70","WALKING",12,12,NA
"71","WALKING_DOWNSTAIRS",12,12,NA
"72","WALKING_UPSTAIRS",12,12,NA
"73","LAYING",13,13,NA
"74","SITTING",13,13,NA
"75","STANDING",13,13,NA
"76","WALKING",13,13,NA
"77","WALKING_DOWNSTAIRS",13,13,NA
"78","WALKING_UPSTAIRS",13,13,NA
"79","LAYING",14,14,NA
"80","SITTING",14,14,NA
"81","STANDING",14,14,NA
"82","WALKING",14,14,NA
"83","WALKING_DOWNSTAIRS",14,14,NA
"84","WALKING_UPSTAIRS",14,14,NA
"85","LAYING",15,15,NA
"86","SITTING",15,15,NA
"87","STANDING",15,15,NA
"88","WALKING",15,15,NA
"89","WALKING_DOWNSTAIRS",15,15,NA
"90","WALKING_UPSTAIRS",15,15,NA
"91","LAYING",16,16,NA
"92","SITTING",16,16,NA
"93","STANDING",16,16,NA
"94","WALKING",16,16,NA
"95","WALKING_DOWNSTAIRS",16,16,NA
"96","WALKING_UPSTAIRS",16,16,NA
"97","LAYING",17,17,NA
"98","SITTING",17,17,NA
"99","STANDING",17,17,NA
"100","WALKING",17,17,NA
"101","WALKING_DOWNSTAIRS",17,17,NA
"102","WALKING_UPSTAIRS",17,17,NA
"103","LAYING",18,18,NA
"104","SITTING",18,18,NA
"105","STANDING",18,18,NA
"106","WALKING",18,18,NA
"107","WALKING_DOWNSTAIRS",18,18,NA
"108","WALKING_UPSTAIRS",18,18,NA
"109","LAYING",19,19,NA
"110","SITTING",19,19,NA
"111","STANDING",19,19,NA
"112","WALKING",19,19,NA
"113","WALKING_DOWNSTAIRS",19,19,NA
"114","WALKING_UPSTAIRS",19,19,NA
"115","LAYING",20,20,NA
"116","SITTING",20,20,NA
"117","STANDING",20,20,NA
"118","WALKING",20,20,NA
"119","WALKING_DOWNSTAIRS",20,20,NA
"120","WALKING_UPSTAIRS",20,20,NA
"121","LAYING",21,21,NA
"122","SITTING",21,21,NA
"123","STANDING",21,21,NA
"124","WALKING",21,21,NA
"125","WALKING_DOWNSTAIRS",21,21,NA
"126","WALKING_UPSTAIRS",21,21,NA
"127","LAYING",22,22,NA
"128","SITTING",22,22,NA
"129","STANDING",22,22,NA
"130","WALKING",22,22,NA
"131","WALKING_DOWNSTAIRS",22,22,NA
"132","WALKING_UPSTAIRS",22,22,NA
"133","LAYING",23,23,NA
"134","SITTING",23,23,NA
"135","STANDING",23,23,NA
"136","WALKING",23,23,NA
"137","WALKING_DOWNSTAIRS",23,23,NA
"138","WALKING_UPSTAIRS",23,23,NA
"139","LAYING",24,24,NA
"140","SITTING",24,24,NA
"141","STANDING",24,24,NA
"142","WALKING",24,24,NA
"143","WALKING_DOWNSTAIRS",24,24,NA
"144","WALKING_UPSTAIRS",24,24,NA
"145","LAYING",25,25,NA
"146","SITTING",25,25,NA
"147","STANDING",25,25,NA
"148","WALKING",25,25,NA
"149","WALKING_DOWNSTAIRS",25,25,NA
"150","WALKING_UPSTAIRS",25,25,NA
"151","LAYING",26,26,NA
"152","SITTING",26,26,NA
"153","STANDING",26,26,NA
"154","WALKING",26,26,NA
"155","WALKING_DOWNSTAIRS",26,26,NA
"156","WALKING_UPSTAIRS",26,26,NA
"157","LAYING",27,27,NA
"158","SITTING",27,27,NA
"159","STANDING",27,27,NA
"160","WALKING",27,27,NA
"161","WALKING_DOWNSTAIRS",27,27,NA
"162","WALKING_UPSTAIRS",27,27,NA
"163","LAYING",28,28,NA
"164","SITTING",28,28,NA
"165","STANDING",28,28,NA
"166","WALKING",28,28,NA
"167","WALKING_DOWNSTAIRS",28,28,NA
"168","WALKING_UPSTAIRS",28,28,NA
"169","LAYING",29,29,NA
"170","SITTING",29,29,NA
"171","STANDING",29,29,NA
"172","WALKING",29,29,NA
"173","WALKING_DOWNSTAIRS",29,29,NA
"174","WALKING_UPSTAIRS",29,29,NA
"175","LAYING",30,30,NA
"176","SITTING",30,30,NA
"177","STANDING",30,30,NA
"178","WALKING",30,30,NA
"179","WALKING_DOWNSTAIRS",30,30,NA
"180","WALKING_UPSTAIRS",30,30,NA
